ID,note,success,mention,comp_devoir,comp_feedback,comp_fichier,comp_presence,comp_remises,comp_systeme,c_notTD,c_TD1,c_TD2,c_TD3,c_TD4,c_TD5,c_TD6,c_TD7,c_TD_all,day_with_inter,ev_class_access,ev_course_access,ev_homework_handed,ev_homework_status,ev_presence,ev_presence_check,ev_presence_set,interactions,interactionsAH,interactionsDO,inter_per_day_mean,inter_per_day_var,session_avg,session_sum,variete_all,variete_composant,variete_contexte,variete_evenement
144,5.0,0,0,84.0,1.0,38.0,8.0,18.0,28.0,22.0,8.0,12.0,10.0,11.0,6.0,5.0,7.0,59.0,12,27.0,81,9.0,24.0,1.0,7.0,1.0,177,44.0,4.0,14.75,86.93181818181817,2.063043478260869,47.45,66,6,27,11
49,0.5,0,0,60.0,2.0,14.0,16.0,14.0,31.0,5.0,7.0,5.0,6.0,5.0,5.0,5.0,7.0,40.0,14,29.0,45,7.0,16.0,5.0,11.0,5.0,137,22.0,1.0,9.785714285714286,33.56593406593406,0.9038888888888889,27.116666666666667,61,6,22,12
324,10.0,1,1,76.0,2.0,46.0,19.0,14.0,38.0,28.0,12.0,7.0,11.0,6.0,5.0,5.0,11.0,57.0,16,37.0,85,7.0,19.0,5.0,14.0,5.0,195,20.0,,12.1875,62.69583333333333,1.1411347517730497,53.63333333333333,64,6,26,11
835,8.5,0,0,106.0,2.0,51.0,36.0,18.0,45.0,28.0,24.0,14.0,7.0,8.0,8.0,10.0,7.0,78.0,17,41.0,106,9.0,33.0,4.0,32.0,4.0,258,53.0,,15.176470588235292,82.90441176470588,1.2156462585034014,59.56666666666667,66,6,25,11
641,3.0,0,0,42.0,2.0,29.0,10.0,10.0,41.0,15.0,13.0,7.0,1.0,3.0,1.0,5.0,6.0,36.0,11,40.0,51,5.0,10.0,2.0,8.0,2.0,134,21.0,6.0,12.181818181818182,190.36363636363632,0.9827586206896552,28.5,46,6,22,12
445,8.0,0,0,42.0,,38.0,35.0,6.0,39.0,23.0,19.0,9.0,3.0,2.0,,,3.0,36.0,11,38.0,59,3.0,13.0,2.0,33.0,2.0,160,44.0,11.0,14.545454545454543,103.27272727272728,1.3616666666666668,54.46666666666667,33,5,19,11
97,16.0,1,4,50.0,3.0,31.0,18.0,12.0,24.0,25.0,6.0,5.0,5.0,6.0,6.0,6.0,1.0,35.0,15,23.0,60,6.0,13.0,5.0,13.0,5.0,140,8.0,,9.333333333333334,30.666666666666675,1.1388888888888888,37.583333333333336,59,7,26,11
402,2.5,0,0,66.0,2.0,28.0,18.0,14.0,36.0,19.0,8.0,6.0,6.0,5.0,6.0,6.0,6.0,43.0,14,34.0,62,7.0,19.0,3.0,15.0,3.0,166,29.0,,11.857142857142858,45.670329670329686,0.94375,30.2,66,7,25,14
924,2.5,0,0,92.0,3.0,46.0,20.0,16.0,39.0,31.0,20.0,9.0,8.0,5.0,5.0,11.0,5.0,63.0,14,38.0,94,8.0,26.0,5.0,15.0,5.0,216,26.0,,15.428571428571429,81.18681318681321,1.2478260869565216,57.4,72,6,28,15
331,6.0,0,0,42.0,2.0,38.0,10.0,10.0,30.0,29.0,5.0,6.0,6.0,5.0,6.0,2.0,1.0,31.0,13,29.0,60,5.0,11.0,3.0,7.0,3.0,132,25.0,,10.153846153846152,31.307692307692296,1.2530864197530864,33.833333333333336,54,6,26,11
898,1.0,0,0,34.0,2.0,14.0,15.0,6.0,23.0,9.0,11.0,6.0,,7.0,,,,24.0,10,22.0,33,3.0,9.0,5.0,10.0,5.0,95,6.0,,9.5,70.72222222222223,1.2137254901960786,20.633333333333333,32,7,14,11
794,12.5,1,2,50.0,2.0,19.0,16.0,12.0,28.0,9.0,6.0,8.0,6.0,5.0,5.0,6.0,,36.0,13,27.0,45,6.0,13.0,4.0,12.0,4.0,127,9.0,,9.76923076923077,41.025641025641015,0.7565476190476191,21.183333333333334,53,6,20,11
283,3.0,0,0,70.0,3.0,72.0,6.0,8.0,51.0,49.0,10.0,12.0,12.0,9.0,4.0,7.0,6.0,60.0,19,50.0,109,4.0,27.0,1.0,5.0,1.0,210,23.0,34.0,11.052631578947368,90.38596491228073,1.9211382113821136,78.76666666666667,54,6,28,11
79,10.5,1,1,60.0,2.0,40.0,25.0,14.0,45.0,23.0,6.0,12.0,5.0,6.0,6.0,5.0,8.0,48.0,17,44.0,71,7.0,16.0,5.0,20.0,5.0,186,30.0,,10.941176470588236,46.93382352941174,0.8973333333333334,44.86666666666667,64,6,26,11
114,8.5,0,0,72.0,,45.0,24.0,14.0,31.0,30.0,9.0,8.0,12.0,7.0,5.0,5.0,5.0,51.0,17,30.0,81,7.0,19.0,5.0,19.0,5.0,186,10.0,12.0,10.941176470588236,61.68382352941176,1.0355263157894736,39.35,62,5,25,10
392,1.5,0,0,30.0,,11.0,15.0,6.0,24.0,7.0,8.0,5.0,6.0,,,,,19.0,11,23.0,26,3.0,9.0,4.0,11.0,4.0,86,8.0,,7.818181818181818,28.76363636363637,1.1236842105263158,21.35,33,5,15,10
896,12.0,1,2,68.0,2.0,30.0,17.0,16.0,39.0,20.0,7.0,9.0,5.0,5.0,5.0,5.0,9.0,45.0,19,38.0,65,8.0,18.0,5.0,12.0,5.0,173,18.0,3.0,9.105263157894736,41.76608187134506,0.5248148148148147,23.616666666666667,68,7,27,13
155,13.0,1,2,70.0,2.0,32.0,25.0,14.0,42.0,19.0,7.0,6.0,8.0,6.0,6.0,7.0,9.0,49.0,18,41.0,68,7.0,19.0,5.0,20.0,5.0,185,37.0,4.0,10.27777777777778,48.80065359477125,0.9170454545454546,40.35,67,6,28,11
421,4.0,0,0,10.0,2.0,26.0,4.0,,7.0,15.0,7.0,,1.0,1.0,4.0,2.0,2.0,17.0,5,7.0,32,,5.0,,4.0,,49,6.0,,9.8,159.2,1.9277777777777776,28.916666666666668,24,5,20,5
104,7.0,0,0,10.0,,14.0,,2.0,5.0,8.0,,1.0,1.0,,1.0,7.0,1.0,11.0,4,5.0,19,1.0,3.0,,,,31,13.0,,7.75,38.25,1.227777777777778,11.05,18,4,13,7
117,6.5,0,0,18.0,1.0,27.0,13.0,2.0,14.0,16.0,10.0,3.0,5.0,2.0,1.0,1.0,,22.0,11,13.0,38,1.0,7.0,4.0,9.0,4.0,76,20.0,4.0,6.909090909090909,33.09090909090909,1.4525,29.05,31,7,21,10
113,3.0,0,0,12.0,,21.0,9.0,2.0,40.0,13.0,,8.0,1.0,3.0,,,2.0,14.0,13,39.0,27,1.0,4.0,2.0,7.0,2.0,84,8.0,7.0,6.461538461538462,57.93589743589743,1.34375,32.25,22,5,14,10
862,11.5,1,1,61.0,3.0,45.0,16.0,14.0,35.0,38.0,5.0,7.0,10.0,1.0,5.0,5.0,8.0,41.0,15,32.0,79,7.0,15.0,5.0,11.0,5.0,175,22.0,16.0,11.666666666666666,38.238095238095234,1.4004629629629628,50.41666666666666,63,7,27,14
103,16.5,1,4,60.0,3.0,55.0,22.0,14.0,51.0,34.0,11.0,9.0,10.0,6.0,5.0,6.0,6.0,53.0,22,50.0,87,7.0,16.0,4.0,18.0,4.0,205,32.0,30.0,9.318181818181818,29.37012987012987,1.1797872340425533,55.45,66,6,28,11
138,9.0,0,0,58.0,3.0,51.0,11.0,10.0,43.0,32.0,9.0,1.0,,10.0,13.0,7.0,10.0,50.0,11,39.0,82,5.0,18.0,2.0,9.0,2.0,177,35.0,,16.09090909090909,116.29090909090908,1.6554054054054057,61.25,56,7,24,14
366,2.0,0,0,10.0,2.0,18.0,8.0,2.0,18.0,14.0,7.0,2.0,,2.0,1.0,,,12.0,9,17.0,26,1.0,3.0,2.0,6.0,2.0,59,9.0,,6.555555555555555,40.02777777777778,1.2877192982456138,24.466666666666665,22,7,15,10
332,5.0,0,0,64.0,,24.0,16.0,12.0,28.0,13.0,9.0,8.0,8.0,8.0,5.0,5.0,,43.0,14,27.0,56,6.0,17.0,4.0,12.0,4.0,144,18.0,,10.285714285714286,51.75824175824174,1.8066666666666669,45.16666666666666,52,5,20,10
386,3.0,0,0,60.0,,36.0,16.0,14.0,38.0,25.0,6.0,7.0,6.0,6.0,5.0,5.0,6.0,41.0,17,37.0,66,7.0,16.0,5.0,11.0,5.0,164,11.0,2.0,9.647058823529411,29.61764705882353,0.6787234042553191,31.9,63,5,26,10
911,4.5,0,0,111.0,2.0,48.0,20.0,14.0,64.0,33.0,19.0,10.0,17.0,10.0,5.0,7.0,7.0,75.0,17,63.0,108,7.0,37.0,4.0,16.0,4.0,264,42.0,14.0,15.529411764705882,146.13970588235293,1.45,69.6,67,8,28,16
146,1.0,0,0,55.0,1.0,69.0,7.0,12.0,35.0,42.0,12.0,12.0,2.0,8.0,10.0,6.0,6.0,56.0,15,34.0,98,6.0,14.0,2.0,5.0,2.0,179,26.0,1.0,11.933333333333334,59.20952380952381,1.2947916666666666,62.15,58,6,26,10
507,10.0,1,1,66.0,,30.0,6.0,14.0,26.0,20.0,12.0,6.0,7.0,6.0,7.0,5.0,,43.0,10,25.0,63,7.0,19.0,2.0,4.0,2.0,143,53.0,,14.3,100.67777777777778,1.454761904761905,40.73333333333333,58,6,24,12
827,2.0,0,0,,,12.0,,,12.0,12.0,,,,,,,,,8,12.0,12,,,,,,24,2.0,1.0,3.0,4.0,0.5893939393939395,6.483333333333333,6,2,6,2
